Title,Rating,Votes,Duration,Genre
The Bodyguard,6.6,44,1.45,Action
Second Life,6.8,70,1.75,Action
Rendel: Cycle of Revenge,3.6,271,1.65,Action
Taken from Rio Bravo,3,341,1.333333333,Action
First Nights at Freddy's,8.9,21,1.633333333,Action
The Burden of Nine Lives,5.2,120,1.933333333,Action
Sikaar,8.2,694,2.5,Action
Agents,3.3,957,1.366666667,Action
Prepare to Die,4.5,250,1.55,Action
Aserb: The Squadron,5.2,350,2,Action
Sector 17,5.4,1300,2.433333333,Action
Mirza: Part 1 - Joker,6.9,244,2.75,Action
Mongol,7.3,119,2.583333333,Action
Customs Frontline,5.5,558,1.916666667,Action
Malayalee from India,5.6,5100,2.666666667,Action
Deaner '89,5.9,479,1.5,Action
Mission: Chapter 1,5.9,1700,2.4,Action
Drive,5.6,385,1.5,Action
Gatao: Like Father Like Son,5.7,277,2.183333333,Action
Kill Craft,2.5,385,1.65,Action
The Charisma Killers,6.2,799,1.683333333,Action
Andromeda: 1883,3.9,20,1.25,Action
Next to Us,4.9,231,2.083333333,Action
Kali,5.2,431,1.6,Action
Rang De Basanti,8.3,186,2.9,Action
Ballistic,2.3,170,1.583333333,Action
Ugravatara,8.2,1500,2.033333333,Action
The Infallibles,4.8,806,1.65,Action
Kung Fu Games,3.3,397,1.633333333,Action
Texas Twister,2.5,167,1.466666667,Action
Athhoi,7.2,261,2.633333333,Action
Shu Si Yi Bo,6.7,51,1.516666667,Action
Paradise,6.9,83,1.383333333,Action
Mazhai Pidikatha Manithan,4.5,432,2.216666667,Action
Art of Eight Limbs,3.9,335,1.683333333,Action
Lisabi: The Uprising,5.1,145,1.783333333,Action
The Day Everything Changed,8.1,80,1.616666667,Action
Guy Manley: Super Spy,4.1,175,1.533333333,Action
Babu,7.1,190,2.366666667,Action
Aho Vikramaarka,6.9,76,2.266666667,Action
I Heart Robots,4.5,2400,1.266666667,Action
Checkmate,4.3,404,1.733333333,Action
Shark Island,3,145,1.35,Action
Day Labor,6.2,102,1.466666667,Action
Major Grom: The Game,6.2,1900,2.8,Action
Rebel,3.3,68,1.666666667,Action
Ape X Mecha Ape: New World Order,2.8,156,1.45,Action
Alpha.,6.8,299,1.666666667,Action
The Waves of Madness,5.2,130,1.133333333,Action
Identity,8.2,5,1.4,Action
The Heist,6.8,2000,2,Action
Too Little Too Late,5.4,8,1.1,Action
Kizumonogatari: Koyomi Vamp,7.1,123,2.4,Action
Nothing Even Matters,5.8,85,1.5,Action
Virunnu,4.1,960,2.083333333,Action
Fighting the Fire,8.2,1700,1.916666667,Action
Nu Huo 12 Xiao Shi,6.1,61,1.433333333,Action
Formed Police Unit,4.7,1500,2,Action
Honeko Akabane's Bodyguards,6,63,1.95,Action
Lie Zhan,6.5,88,1.55,Action
The Unbreakable Bunch,7.1,40,1.416666667,Action
Camp Blood: Clown Shark,3.4,102,1.166666667,Action
UmroAyyar - A New Beginning,7,685,2.25,Action
Mani nude,6.6,62,1.4,Action
Vixen,5.2,350,1.45,Action
Chaari 111,4.8,273,2.166666667,Action
Fight for Tomorrow,6.6,56,1.683333333,Action
Red vs. Blue: Restoration,5.6,149,1.416666667,Action
The Bouncer,4.1,108,1.3,Action
Anunnakiler,2.5,483,1.266666667,Action
Dange,5.3,816,2.566666667,Action
The Omicron Killer,2.9,602,1.633333333,Action
Kuang Bao Ju Xi,5.5,98,1.25,Action
Shekko,5.9,658,2,Action
The Miranda Brothers,4.4,194,1.65,Action
Bandaa Singh Chaudhary,5.9,5300,1.883333333,Action
Appu,8.2,203,1.533333333,Action
Special Needs Revolt!,8.3,19,1.883333333,Action
Black Storm,6.6,79,1.616666667,Action
Warrior Awang and Master Tok Gajah,4.6,486,1.966666667,Action
Stranded Pearl,6.2,47,1.5,Action
South Side Hero,5.5,40,1.533333333,Action
Premalo,7.3,1100,2.133333333,Action
The Epidemic,5.9,72,1.583333333,Action
Correr para Vivir,7,210,1.616666667,Action
The Dragon's Tomb,6.7,59,1.283333333,Action
The Last Chainsaw Massacre,3.7,43,1.25,Action
Touchdown,6.8,14,1.3,Action
The Circuit 4: Faith Fighter,4.4,96,1.5,Action
Young Lion of the West,5.3,113,1.55,Action
Bad Boyz,3.2,748,2.5,Action
Jacob Tyler,4.1,69,2.216666667,Action
Sentimentaaal,5,992,2.25,Action
Surge of Power: Where There's Smoke,5.6,16,1.133333333,Action
Mutant,5.5,109,1.5,Action
Soodhu Kavvum 2: Naatum Naatu Makkalum,3.8,219,2.15,Action
Sabari,6.4,5400,2.15,Action
Hakkenden,5.9,85,2.483333333,Action
Delivery Run,6.2,20,1.2,Action
Bonnie,7.3,49,2,Action
Desperado,5.9,159,1.666666667,Action
Krishnamma,6.2,373,2.3,Action
Bonus Trip,4.3,239,1.883333333,Action
Transformers Prime: Galavatron's Revenge,4.7,20,1.733333333,Action
El Duro,4.7,17,1.5,Action
Kamen Rider 555 20th: Paradise Regained,5.8,159,1.083333333,Action
Buddy,3.8,364,2.283333333,Action
Oru Anveshanathinte Thudakkam,7.2,834,3.016666667,Action
Fights Break Sphere 3,5,11,1.35,Action
What Happens in Miami,4.2,224,1.5,Action
Fyre Rises,6,329,1.833333333,Action
Saala,5.5,1100,2.166666667,Action
Champions of the Golden Valley,9.2,80,1.35,Action
Death Game,6.5,29,1.466666667,Action
Naag Bhoomi,6,11,2.166666667,Action
Bhairadevi,8.7,55,2.233333333,Action
Marni: The Story of Wewe Gombel,6.7,1000,1.983333333,Action
London Gangsters,4.6,12,1.733333333,Action
Crosspoint,6.5,62,1.666666667,Action
Appudo Ippudo Eppudo,4.7,244,2,Action
Zenithal,4.9,135,1.333333333,Action
The Desperate Chase,5.7,80,1.833333333,Action
Nine-Ring Golden Dagger,5.1,40,1.566666667,Action
Return to the Ring,5.4,765,1.766666667,Action
Dr. Jason II: Lights & Shadows,4.9,383,1.033333333,Action
Oversteer,5.5,23,1.433333333,Action
Spirit Riser,6.3,42,1.633333333,Action
Breaking and Re-entering,5.8,472,1.816666667,Action
Supplier Shankara,9.3,74,2.716666667,Action
Thankamani,4.5,239,2.6,Action
Bond of Justice: Kizuna Part I - Encounter,6,22,1.533333333,Action
Kadakan,4,117,2.133333333,Action
Dark Fusion,8.5,244,1.5,Action
Bloodline,9.2,51,1.333333333,Action
The Mick and the Trick,4.8,87,1.6,Action
Telekinesis,5.8,63,1.766666667,Action
Dragon Ball Z Kai,8.5,99,1.366666667,Action
Gravediggers,5.9,41,1.516666667,Action
The Bottom Line,6.7,14,1.783333333,Action
Love You as the World Ends Final,6.6,44,1.916666667,Action
Mega Twister,2.8,66,1.25,Action
Gold Raiders,2,199,1.466666667,Action
Gone with the Dead,4,63,1.6,Action
Thiragabadara Saami,3.8,122,1.916666667,Action
"Silex and the City, le film",5,59,1.283333333,Action
The Moon Thieves,6,301,1.8,Action
Gam Gam Ganesha,5.3,327,2.333333333,Action
Panjab Files,8.2,37,1.95,Action
Raanti,6.8,1100,1.916666667,Action
Permafrost,5.7,115,1.333333333,Action
Hell City,8.5,30,1.5,Action
Serra das Almas,5.5,55,2,Action
Emanet,7.7,32,1.616666667,Action
Xing men shenyuan,3.8,280,1.433333333,Action
Buying Time,6.3,510,1.4,Action
Rob N Roll,6.1,1600,1.633333333,Action
Tales Beyond the Galaxy,4.4,191,1.266666667,Action
Jorge da Capadócia,5.8,170,1.983333333,Action
Komandir,6.3,542,2.183333333,Action
Hrashwo Deergha,7.9,108,2.5,Action
Iddaru,8.7,298,2.466666667,Action
The Escapee 3: The Final Escape,2.6,81,1.383333333,Action
Average Student Nani,7.4,2300,2.3,Action
Spider-Man: Final Swing,7.9,12,2.55,Action
How to Make a Werewolf,5.5,146,1.63,Action
Kiyma: Orman Kanunlari,3.9,44,1.35,Action
AK47,7.2,16,2.433333333,Action
Guns Blazin,7.1,10,1.466666667,Action
