Title,Rating,Votes,Duration
286. Cinderella's Curse,3.4, (1.4K),1h 22m
287. Murder Mubarak,5.8, (51K),2h 20m
288. X Files,2.5, (77),1h 14m
289. The Little Mermaid,3.5, (226),1h 29m
290. Frankie Freako,5.5, (1.4K),1h 25m
291. Gacy: Serial Killer Next Door,3.3, (494),1h 37m
292. Heretics,2.7, (131),1h 23m
293. Rippy,4.2, (1K),1h 23m
294. Crescent City,3.9, (1.5K),1h 43m
295. Sunrise,3.9, (1.3K),1h 33m
296. Hell Hole,4.5, (1.4K),1h 32m
297. Bloody Axe Wound,5.0, (1.1K),1h 23m
298. Bleeding,4.2, (397),1h 37m
299. The Monster Beneath Us,5.1, (507),1h 43m
300. Kalinga,6.6, (9.6K),1h 56m
301. DarkGame,4.6, (3K),1h 40m
302. Monster on a Plane,5.0, (2.7K),1h 28m
303. The Killgrin,5.9, (99),1h 23m
304. Operation Blood Hunt,3.4, (543),1h 33m
305. Invasive,5.6, (827),1h 37m
306. Campton Manor,3.4, (263),1h 23m
307. Saint Catherine,3.4, (283),1h 26m
308. Demonte Colony 2,6.5, (4.7K),2h 24m
309. Haunt Season,4.9, (959),1h 21m
310. The Bunker,4.3, (378),1h 32m
311. Dancing Village: The Curse Begins,5.7, (4.3K),2h 2m
312. The Banished,5.0, (57),1h 37m
313. Espantaho,4.8, (274),1h 30m
314. Paranoia,4.1, (416),1h 35m
315. Unspeakable: Beyond the Wall of Sleep,3.9, (147),1h 30m
316. Estela,6.0, (42),1h 29m
317. Witch Hunter,4.0, (49),1h 20m
318. (Pri)sons,4.9, (314),1h 40m
319. Indera,5.8, (20),1h 44m
320. The Moogai,5.4, (478),1h 26m
321. Operation Undead,4.7, (485),1h 50m
322. Butchers Book Two: Raghorn,4.1, (691),1h 28m
324. Hide N Seek,8.8, (2.3K),2h 14m
325. #AMFAD: All My Friends Are Dead,4.5, (1.3K),1h 31m
326. Sattam En Kaiyil,7.9, (2.3K),2h 4m
327. Amityville: Where the Echo Lives,1.5, (469),1h 29m
328. Kakuda,5.3, (6.4K),1h 56m
329. Kang Mak,6.4, (934),2h 2m
330. 404 Run Run,5.7, (532),1h 44m
331. Goldilocks and the Three Bears: Death and Porridge,2.2, (2.2K),1h 22m
332. Curse of the Seven Oceans,5.5, (553),1h 34m
333. Seeds,4.9, (251),1h 22m
334. Happy Birthday Luci,9.4, (61),1h 39m
335. Exorcism Chronicles: The Beginning,6.4, (147),1h 25m
336. Wake,3.4, (291),1h 25m
337. Spiders on a Plane,3.9, (497),1h 18m
338. Poison Sangga: The Homewrecker's Curse,6.8, (413),1h 58m
339. Destroy All Neighbors,5.3, (2.1K),1h 25m
340. The Stalking,3.6, (55),1h 12m
341. Seven Cemeteries,4.6, (680),1h 24m
342. A Fisherman's Tale,5.7, (178),1h 43m
343. The Containment,4.8, (85),1h 22m
344. Vincent,6.0, (420),1h 32m
345. Mummy Shark,1.9, (231),1h 6m
346. Retreat,7.0, (26),1h 33m
347. Bull Shark 2,2.6, (251),1h 15m
348. Bad Fish,3.4, (357),1h 24m
349. Tenants,4.3, (140),1h 34m
350. Birthright,5.3, (262),1h 20m
351. Do You See What I See,5.4, (724),1h 49m
352. Alien Country,4.5, (436),1h 36m
353. The Woods,3.7, (93),1h 16m
354. Flesh of the Unforgiven,8.1, (60),1h 28m
355. The Cursed,4.1, (120),1h 37m
356. They Call Her Death,5.4, (229),1h 32m
357. Cocaine Werewolf,2.4, (316),1h 20m
358. Cora,4.5, (962),1h 44m
359. Delicate Arch,5.0, (74),1h 25m
360. Cellphone,3.0, (763),1h 28m
361. The Cellar,5.4, (193),1h 25m
362. Guardian,4.0, (680),2h
363. From Darkness,4.9, (608),1h 35m
364. 12 to Midnight,3.7, (309),1h 36m
365. Cara,5.8, (87),1h 36m
366. Wanita Ahli Neraka,4.9, (329),1h 35m
367. Don't Open the Door,6.6, (8.4K),1h 27m
